smiles,CAS_number,formula,IUPAC_Name,property,temperature,value,smiles_base
C(CC)C,106-97-8,C4H10,butane,octanol_water_partition_coefficient,-,2.89
OCCCCO,110-63-4,C4H10O2,"1,4-butanediol",octanol_water_partition_coefficient,-,-0.83
OCC[C@@H](O)C,107-88-0,C4H10O2,"1,3-butanediol",octanol_water_partition_coefficient,-,-0.29
OCCCC,71-36-3,C4H10O,butanol,octanol_water_partition_coefficient,-,0.88
OC(CC)C,78-92-2,C4H10O,sec-butanol,octanol_water_partition_coefficient,-,0.61
OC(C)(C)C,75-65-0,C4H10O,tert-butanol,octanol_water_partition_coefficient,-,0.35
C(C=C)C,106-98-9,C4H8,1-butene,octanol_water_partition_coefficient,-,2.4
[H]C(C)=C([H])C,590-18-1,C4H8,cis-2-butene,octanol_water_partition_coefficient,-,2.33
[H]C(C)=C([H])C,624-64-6,C4H8,trans-2-butene,octanol_water_partition_coefficient,-,2.31
[H]C(CO)=C([H])CO,821-11-4,C4H8O2,"trans-2-butene-1,4-diol",octanol_water_partition_coefficient,-,-0.43
[H]C(CO)=C([H])CO,6117-80-2,C4H8O2,"cis-2-butene-1,4-diol",octanol_water_partition_coefficient,-,-0.43
[H]C(C)=C([H])C(=O)O,503-64-0,C4H6O2,cis-2-butenoic acid,octanol_water_partition_coefficient,-,0.85
O(CCCC)CCO,111-76-2,C6H14O2,2-butoxyethanol,octanol_water_partition_coefficient,-,0.83
O(C(=O)C)CCCC,123-86-4,C6H12O2,butyl acetate,octanol_water_partition_coefficient,-,1.78
CCC(C)OC(C)=O,105-46-4,C6H12O2,sec-butyl acetate,octanol_water_partition_coefficient,-,1.72
O(C(C)(C)C)C(=O)C,540-88-5,C6H12O2,tert-butyl acetate,octanol_water_partition_coefficient,-,1.76
O(C(=O)C=C)CCCC,141-32-2,C7H12O2,butyl acrylate,octanol_water_partition_coefficient,-,2.36
NCCCC,109-73-9,C4H11N,butylamine,octanol_water_partition_coefficient,-,0.97
NC(C)(C)C,75-64-9,C4H11N,tert-butylamine,octanol_water_partition_coefficient,-,0.4
NC(CC)C,13952-84-6,C4H11N,sec-butylamine,octanol_water_partition_coefficient,-,0.76
c1ccccc1CCCC,104-51-8,C10H14,butylbenzene,octanol_water_partition_coefficient,-,4.38
CC(C)(C)C1=CC=CC=C1,'98-06-6',C10H14,tert-butylbenzene,octanol_water_partition_coefficient,-,4.11
c1ccccc1C(CC)C,135-98-8,C10H14,sec-butylbenzene,octanol_water_partition_coefficient,-,4.57
Oc1cc(ccc1O)C(C)(C)C,98-29-3,C10H14O2,p-tert-butylcatechol,octanol_water_partition_coefficient,-,11.84
C1CCCCC1CCCC,1678-93-9,C10H20,butylcyclohexane,octanol_water_partition_coefficient,-,5.07
CCCCC1CCCC1,2040-95-1,C9H18,butylcyclopentane,octanol_water_partition_coefficient,-,5.7
CCC(C)C1CCCC1,4850-32-2,C9H18,sec-butylcyclopentane,octanol_water_partition_coefficient,-,5.64
CC(C)(C)C1CCCC1,3875-52-3,C9H18,tert-butylcyclopentane,octanol_water_partition_coefficient,-,5.41
CCCCCCCCCCSCCCC,19313-57-6,C14H30S,butyl decyl sulfide,octanol_water_partition_coefficient,-,6.84
CCC(C)OC=O,589-40-2,C5H10O2,sec-butyl formate,octanol_water_partition_coefficient,-,1.28
O(CCCC)C=O,592-84-7,C5H10O2,butyl formate,octanol_water_partition_coefficient,-,1.3
O(C(C)(C)C)C=O,762-75-4,C5H10O2,tert-butyl formate,octanol_water_partition_coefficient,-,1.12
CCCC(CCC)C(C)(C)C,60302-21-8,C11H24,4-tert-butylheptane,octanol_water_partition_coefficient,-,6.9
CCCCCCCSCCCC,40813-84-1,C11H24S,butyl heptyl sulfide,octanol_water_partition_coefficient,-,5.36
CCCCCCSCCCC,16967-04-7,C10H22S,butyl hexyl sulfide,octanol_water_partition_coefficient,-,4.86
SCCCC,109-79-5,C4H10S,butyl mercaptan,octanol_water_partition_coefficient,-,2.28
SC(CC)C,513-53-1,C4H10S,sec-butyl mercaptan,octanol_water_partition_coefficient,-,2.18
CCCCCCCCCSCCCC,66577-32-0,C13H28S,butyl nonyl sulfide,octanol_water_partition_coefficient,-,6.35
SC(C)(C)C,75-66-1,C4H10S,tert-butyl mercaptan,octanol_water_partition_coefficient,-,2.14
CCCCC(CCC)C(C)(C)C,62184-32-1,C12H26,4-tert-butyloctane,octanol_water_partition_coefficient,-,7.31
CCCCCCCCSCCCC,16900-07-5,C12H26S,butyl octyl sulfide,octanol_water_partition_coefficient,-,5.85
O(C(=O)CC)CCCC,590-01-2,C7H14O2,butyl propanoate,octanol_water_partition_coefficient,-,2.34
CCCCCSCCCC,24768-42-1,C9H20S,butyl pentyl sulfide,octanol_water_partition_coefficient,-,4.37
OCC#CCO,110-65-6,C4H6O2,"2-butyne-1,4-diol",octanol_water_partition_coefficient,-,-0.93
O=CCCC,123-72-8,C4H8O,butyraldehyde,octanol_water_partition_coefficient,-,0.88
OC(=O)CCC,107-92-6,C4H8O2,butyric acid,octanol_water_partition_coefficient,-,0.79
O1CCCC1=O,96-48-0,C4H6O2,gamma-butyrolactone,octanol_water_partition_coefficient,-,-0.64
CCCC#N,109-74-0,C4H7N,butyronitrile,octanol_water_partition_coefficient,-,0.53
O=C1C[C@H]2CC[C@]1(C)C2(C)C,76-22-2,C10H16O,camphor,octanol_water_partition_coefficient,-,2.34
O=C=O,124-38-9,CO2,carbon dioxide,octanol_water_partition_coefficient,-,-1.33
S=C=S,75-15-0,CS2,carbon disulfide,octanol_water_partition_coefficient,-,2.14
O=C,630-08-0,CO,carbon monoxide,octanol_water_partition_coefficient,-,3.42
ClC(Cl)(Cl)Cl,56-23-5,CCl4,carbon tetrachloride,octanol_water_partition_coefficient,-,2.83
FC(F)(F)F,75-73-0,CF4,carbon tetrafluoride,octanol_water_partition_coefficient,-,1.18
O=C=S,463-58-1,COS,carbonyl sulfide,octanol_water_partition_coefficient,-,-1.33
ClCC=C,107-05-1,C3H5Cl,3-chloro-1-propene,octanol_water_partition_coefficient,-,1.93
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,'97-00-7',C6H3ClN2O4,"1-chloro-2,4-dinitrobenzene",octanol_water_partition_coefficient,-,2.17
CCC(C)(C)Cl,594-36-5,C5H11Cl,2-chloro-2-methylbutane,octanol_water_partition_coefficient,-,2.52
ClC(C)(C)C,507-20-0,C4H9Cl,2-chloro-2-methylpropane,octanol_water_partition_coefficient,-,2.45
Clc1cc(N)ccc1,108-42-9,C6H6ClN,m-chloroaniline,octanol_water_partition_coefficient,-,1.88
Clc1ccccc1,108-90-7,C6H5Cl,chlorobenzene,octanol_water_partition_coefficient,-,2.84
Clc1ccc(N)cc1,106-47-8,C6H6ClN,p-chloroaniline,octanol_water_partition_coefficient,-,1.83
ClC(F)F,75-45-6,CHClF2,chlorodifluoromethane,octanol_water_partition_coefficient,-,1.08
CC(Cl)CCl,78-86-4,C4H9Cl,2-chlorobutane,octanol_water_partition_coefficient,-,2.33
ClCCCC,109-69-3,C4H9Cl,1-chlorobutane,octanol_water_partition_coefficient,-,2.64
Clc1c2c(ccc1)cccc2,90-13-1,C10H7Cl,1-chloronaphthalene,octanol_water_partition_coefficient,-,3.9
Clc1cc([N+](=O)[O-])ccc1,121-73-3,C6H4ClNO2,m-chloronitrobenzene,octanol_water_partition_coefficient,-,2.46
FCCl,593-70-4,CH2ClF,chlorofluoromethane,octanol_water_partition_coefficient,-,0.51
Clc1cc(O)ccc1,108-43-0,C6H5ClO,m-chlorophenol,octanol_water_partition_coefficient,-,2.5
ClC(F)(F)C(F)(F)F,76-15-3,C2ClF5,chloropentafluoroethane,octanol_water_partition_coefficient,-,2.47
Clc1ccc([N+](=O)[O-])cc1,100-00-5,C6H4ClNO2,p-chloronitrobenzene,octanol_water_partition_coefficient,-,2.39
CC(C)Cl,75-29-6,C3H7Cl,2-chloropropane,octanol_water_partition_coefficient,-,1.9
ClCCC,540-54-5,C3H7Cl,1-chloropropane,octanol_water_partition_coefficient,-,2.04
OC(CC(O)=O)(CC(O)=O)C(O)=O,77-92-9,C6H8O7,citric acid,octanol_water_partition_coefficient,-,-1.72
c12c(c3c(cc1)cccc3)ccc1c2cccc1,218-01-9,C18H12,chrysene,octanol_water_partition_coefficient,-,5.5
[H]C(C(=O)O)=C(C)C(=O)O,498-23-7,C5H6O4,citraconic acid,octanol_water_partition_coefficient,-,-0.25
FC(F)(F)Cl,75-72-9,CClF3,chlorotrifluoromethane,octanol_water_partition_coefficient,-,1.65
ClCCCCC,543-59-9,C5H11Cl,1-chloropentane,octanol_water_partition_coefficient,-,2.73
ClC(Cl)Cl,67-66-3,CHCl3,chloroform,octanol_water_partition_coefficient,-,1.97
Clc1ccc(O)cc1,106-48-9,C6H5ClO,p-chlorophenol,octanol_water_partition_coefficient,-,2.39
Oc1cc(ccc1)C,108-39-4,C7H8O,m-cresol,octanol_water_partition_coefficient,-,1.96
c1ccccc1C(C)C,98-82-8,C9H12,cumene,octanol_water_partition_coefficient,-,3.66
C1CCCCCC1,291-64-5,C7H14,cycloheptane,octanol_water_partition_coefficient,-,4
C(#N)C#N,460-19-5,C2N2,cyanogen,octanol_water_partition_coefficient,-,0.07
N#CCl,506-77-4,CClN,cyanogen chloride,octanol_water_partition_coefficient,-,0.79
[H]C(C)=C([H])C=O,123-73-9,C4H6O,trans-crotonaldehyde,octanol_water_partition_coefficient,-,0.6
Clc1ccc(cc1)C,106-43-4,C7H7Cl,p-chlorotoluene,octanol_water_partition_coefficient,-,3.33
Oc1ccc(cc1)C,106-44-5,C7H8O,p-cresol,octanol_water_partition_coefficient,-,1.94
C1=CC=CCC=C1,544-25-2,C7H8,"1,3,5-cycloheptatriene",octanol_water_partition_coefficient,-,2.56
C1=CCCC=C1,592-57-4,C6H8,"1,3-cyclohexadiene",octanol_water_partition_coefficient,-,2.47
C1CCCCC1,110-82-7,C6H12,cyclohexane,octanol_water_partition_coefficient,-,3.44
